"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2";"C_Radial_D6.3mm_H5.0mm_P2.50mm";1;"22u";;;
2;"C1";"CP_Elec_5x5.4";1;"22u";;;
3;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"STBY";;;
4;"R3,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10K";;;
5;"R2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100K";;;
6;"Q1";"SOT-23";1;"2N7002";;;
7;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"MUTE_HEADER";;;
8;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"POWER_HEADER";;;
9;"D2";"D_SOD-123";1;"1N4148W";;;
10;"D1";"D_SOD-123";1;"BZT52Bxx";;;
